frame,left_shoulder,left_elbow,left_wrist,right_shoulder,right_elbow,right_wrist,hand1_fingertips,hand2_fingertips
1,"(424, 321)","(528, 332)","(467, 261)","(286, 328)","(179, 323)","(252, 258)","[(305, 239), (319, 213), (311, 200), (298, 194), (281, 196)]","[(410, 247), (404, 211), (412, 198), (422, 196), (440, 198)]"
2,"(424, 322)","(529, 333)","(465, 260)","(285, 329)","(177, 330)","(254, 259)","[(304, 239), (318, 212), (310, 198), (297, 194), (280, 196)]","[(408, 249), (402, 212), (411, 199), (421, 196), (439, 199)]"
3,"(424, 324)","(530, 333)","(464, 260)","(285, 331)","(176, 333)","(255, 259)","[(304, 240), (318, 213), (310, 199), (297, 195), (280, 196)]","[(408, 250), (401, 213), (409, 200), (419, 197), (438, 200)]"
4,"(423, 325)","(530, 334)","(464, 260)","(285, 331)","(175, 333)","(255, 259)","[(304, 240), (318, 214), (311, 199), (297, 195), (280, 197)]","[(407, 250), (400, 214), (409, 200), (419, 198), (438, 200)]"
5,"(423, 325)","(530, 334)","(464, 260)","(285, 332)","(173, 333)","(255, 259)","[(305, 240), (318, 214), (311, 200), (298, 195), (280, 197)]","[(407, 250), (400, 214), (409, 201), (419, 198), (437, 200)]"
6,"(423, 325)","(531, 334)","(463, 260)","(284, 332)","(172, 333)","(256, 259)","[(304, 241), (318, 215), (310, 200), (297, 196), (280, 197)]","[(406, 252), (398, 215), (408, 202), (417, 199), (436, 201)]"
7,"(422, 326)","(531, 334)","(462, 260)","(283, 333)","(171, 333)","(256, 260)","[(304, 241), (318, 215), (310, 201), (297, 196), (280, 198)]","[(406, 252), (399, 216), (408, 202), (418, 199), (436, 201)]"
8,"(422, 326)","(531, 334)","(463, 260)","(283, 333)","(171, 334)","(256, 260)","[(303, 239), (316, 214), (308, 199), (296, 195), (278, 197)]","[(408, 250), (400, 214), (409, 201), (419, 198), (437, 200)]"
9,"(422, 326)","(532, 335)","(463, 260)","(283, 333)","(171, 336)","(256, 259)","[(302, 237), (314, 211), (306, 197), (293, 194), (276, 196)]","[(410, 247), (403, 212), (412, 200), (421, 197), (440, 198)]"
10,"(422, 327)","(532, 337)","(477, 254)","(283, 333)","(172, 346)","(245, 250)","[(282, 212), (289, 187), (277, 179), (265, 180), (249, 187)]","[(430, 228), (430, 190), (441, 182), (452, 181), (468, 188)]"
11,"(423, 327)","(532, 339)","(486, 251)","(284, 333)","(172, 345)","(241, 243)","[(275, 208), (279, 182), (268, 174), (255, 175), (240, 183)]","[(437, 220), (441, 182), (452, 175), (461, 176), (476, 184)]"
12,"(423, 328)","(532, 339)","(490, 245)","(284, 333)","(173, 345)","(235, 241)","[(272, 200), (271, 173), (259, 166), (244, 168), (230, 177)]","[(444, 207), (455, 172), (466, 167), (476, 170), (490, 180)]"
13,"(423, 328)","(532, 339)","(491, 244)","(284, 333)","(173, 345)","(235, 240)","[(276, 201), (275, 175), (263, 167), (248, 168), (234, 178)]","[(443, 208), (453, 173), (465, 167), (474, 169), (489, 179)]"
14,"(424, 329)","(532, 339)","(485, 244)","(284, 333)","(174, 347)","(243, 244)","[(279, 231), (303, 190), (293, 177), (279, 177), (261, 183)]","[(428, 224), (425, 183), (437, 174), (446, 173), (463, 180)]"
15,"(424, 329)","(533, 339)","(479, 245)","(284, 333)","(174, 347)","(249, 250)","[(310, 225), (313, 195), (302, 183), (288, 182), (270, 186)]","[(416, 227), (414, 190), (425, 179), (436, 177), (454, 182)]"
16,"(423, 329)","(533, 339)","(461, 253)","(283, 334)","(174, 347)","(264, 267)","[(316, 242), (336, 219), (328, 205), (314, 201), (295, 201)]","[(412, 252), (391, 216), (397, 203), (406, 199), (425, 200)]"
17,"(423, 329)","(535, 339)","(455, 259)","(283, 334)","(175, 347)","(269, 275)","[(328, 255), (341, 225), (332, 209), (319, 204), (299, 203)]","[(394, 261), (383, 223), (392, 208), (401, 204), (421, 204)]"
18,"(422, 329)","(535, 339)","(454, 259)","(283, 334)","(174, 347)","(267, 273)","[(323, 251), (335, 222), (327, 206), (314, 202), (294, 203)]","[(399, 256), (391, 219), (401, 205), (411, 201), (430, 200)]"
19,"(422, 329)","(535, 339)","(456, 258)","(283, 335)","(174, 348)","(265, 272)","[(321, 246), (330, 216), (320, 202), (308, 198), (288, 199)]","[(406, 249), (397, 214), (408, 200), (417, 197), (437, 197)]"
20,"(424, 329)","(535, 341)","(475, 255)","(283, 335)","(173, 352)","(257, 265)","[(302, 224), (304, 193), (292, 181), (278, 181), (261, 188)]","[(421, 228), (428, 187), (442, 178), (454, 176), (470, 184)]"
21,"(425, 330)","(535, 341)","(482, 249)","(284, 335)","(173, 354)","(250, 257)","[(293, 218), (296, 187), (284, 176), (270, 176), (252, 183)]","[(436, 223), (437, 182), (450, 172), (460, 172), (478, 180)]"
22,"(426, 330)","(535, 341)","(497, 245)","(284, 336)","(173, 354)","(239, 248)","[(276, 204), (274, 173), (261, 165), (246, 167), (231, 177)]","[(452, 207), (464, 169), (477, 163), (486, 166), (500, 176)]"
23,"(427, 330)","(535, 341)","(502, 245)","(285, 336)","(173, 353)","(234, 244)","[(271, 201), (269, 171), (256, 164), (242, 165), (228, 175)]","[(457, 205), (468, 168), (481, 163), (490, 165), (504, 176)]"
24,"(427, 329)","(535, 342)","(504, 245)","(285, 336)","(173, 353)","(231, 241)","[(268, 199), (266, 170), (253, 162), (239, 164), (225, 175)]","[(459, 204), (471, 168), (484, 162), (493, 165), (507, 177)]"
25,"(427, 329)","(535, 344)","(504, 245)","(285, 336)","(173, 353)","(230, 241)","[(268, 200), (266, 169), (252, 162), (238, 164), (224, 174)]","[(458, 206), (470, 169), (483, 163), (491, 166), (506, 178)]"
26,"(427, 330)","(535, 346)","(502, 245)","(285, 336)","(173, 354)","(231, 242)","[(270, 202), (269, 170), (255, 163), (240, 165), (225, 174)]","[(456, 208), (468, 171), (481, 165), (489, 167), (504, 178)]"
27,"(427, 330)","(535, 347)","(500, 247)","(284, 336)","(172, 357)","(231, 243)","[(285, 213), (287, 180), (273, 170), (258, 171), (242, 178)]","[(443, 220), (448, 181), (461, 171), (469, 172), (488, 180)]"
28,"(427, 330)","(535, 347)","(499, 249)","(284, 336)","(172, 359)","(235, 245)","[(289, 217), (292, 184), (279, 173), (264, 172), (247, 180)]","[(437, 225), (441, 185), (453, 175), (463, 175), (482, 182)]"
29,"(427, 329)","(536, 347)","(479, 258)","(283, 336)","(172, 360)","(246, 259)","[(308, 233), (315, 203), (303, 189), (289, 187), (270, 190)]","[(423, 242), (414, 203), (425, 190), (436, 188), (456, 192)]"
30,"(425, 329)","(537, 347)","(464, 264)","(282, 337)","(171, 362)","(260, 274)","[(323, 249), (331, 219), (321, 205), (308, 201), (287, 202)]","[(402, 253), (393, 219), (402, 204), (412, 201), (433, 203)]"
31,"(424, 329)","(539, 348)","(459, 267)","(282, 338)","(169, 362)","(266, 280)","[(324, 252), (334, 223), (324, 206), (310, 202), (291, 203)]","[(396, 259), (388, 223), (397, 207), (408, 203), (429, 204)]"
